"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"";"Version1.0.0.";1;"";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
4;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
5;",,,,,,,";"buzzardLabel";8;"";;;
6;"C7,C1,C5,C8,C6";"1206C";5;"GRT31CR61H106KE01L";;;
7;"H3,H4,H1,H2";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
8;"U1";"SOIC-8_POWERPAD";1;"LMR33630";;;
9;"R3";"tc33x-2-103e";1;"TC33X-2-503E";;;
10;"K1,K7";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
11;"JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
12;"K6,K3,K5,K2";"HEADER_MALE_1X1";4;"HEADER_MALE_1X1";;;
13;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
14;"R2";"0603R";1;"100k";;;
15;"D1";"0402LED";1;"purple";;;
16;"L1";"Inductor_SMD_7x6.6";1;"PSPMAA0603-3R3M-ANF";;;
17;"C2";"0603C";1;"AC0603KRX7R9BB224";;;
18;"R4";"0402R";1;"1k";;;
19;"C4";"0603C";1;"06033C104KAT4A";;;
20;"C3";"0603C";1;"CL10A105KA8NFNC";;;
